min_support,min_confidence,min_lift,frequent_itemsets,rules_after_filter
0.025,0.2,1.0,230,86
0.025,0.2,1.5,230,86
0.025,0.2,2.0,230,86
0.025,0.4,1.0,230,65
0.025,0.4,1.5,230,65
0.025,0.4,2.0,230,65
0.025,0.6,1.0,230,23
0.025,0.6,1.5,230,23
0.025,0.6,2.0,230,23
0.03,0.2,1.0,145,22
0.03,0.2,1.5,145,22
0.03,0.2,2.0,145,22
0.03,0.4,1.0,145,18
0.03,0.4,1.5,145,18
0.03,0.4,2.0,145,18
0.03,0.6,1.0,145,12
0.03,0.6,1.5,145,12
0.03,0.6,2.0,145,12
0.02,0.2,1.0,400,209
0.02,0.2,1.5,400,209
0.02,0.2,2.0,400,206
0.02,0.4,1.0,400,138
0.02,0.4,1.5,400,138
0.02,0.4,2.0,400,138
0.02,0.6,1.0,400,35
0.02,0.6,1.5,400,35
0.02,0.6,2.0,400,35
