antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,rule_str
frozenset({'REGENCY TEA PLATE GREEN '}),frozenset({'REGENCY TEA PLATE ROSES '}),0.018644914266688864,0.021142000998834693,0.01559291937184396,0.8363095238095238,39.55678196475441,1.0,0.015198728575794438,5.979932502988938,0.9932387360058438,0.6444954128440369,0.8327740322319405,0.786921166104237,REGENCY TEA PLATE GREEN ,REGENCY TEA PLATE ROSES ,REGENCY TEA PLATE GREEN  → REGENCY TEA PLATE ROSES 
frozenset({'REGENCY TEA PLATE ROSES '}),frozenset({'REGENCY TEA PLATE GREEN '}),0.021142000998834693,0.018644914266688864,0.01559291937184396,0.7375328083989502,39.55678196475441,1.0,0.015198728575794438,3.738962876643916,0.9957725082915728,0.6444954128440369,0.7325461543770133,0.786921166104237,REGENCY TEA PLATE ROSES ,REGENCY TEA PLATE GREEN ,REGENCY TEA PLATE ROSES  → REGENCY TEA PLATE GREEN 
frozenset({'SMALL MARSHMALLOWS PINK BOWL'}),frozenset({'SMALL DOLLY MIX DESIGN ORANGE BOWL'}),0.023861050996060153,0.028300316297652738,0.018589423450418956,0.7790697674418605,27.528659370725038,1.0,0.01791414816003603,4.39821962096852,0.9872305800880199,0.553719008264463,0.7726352737747569,0.7179662562699498,SMALL MARSHMALLOWS PINK BOWL,SMALL DOLLY MIX DESIGN ORANGE BOWL,SMALL MARSHMALLOWS PINK BOWL → SMALL DOLLY MIX DESIGN ORANGE BOWL
frozenset({'SMALL DOLLY MIX DESIGN ORANGE BOWL'}),frozenset({'SMALL MARSHMALLOWS PINK BOWL'}),0.028300316297652738,0.023861050996060153,0.018589423450418956,0.6568627450980392,27.528659370725034,1.0,0.01791414816003603,2.844747794240053,0.9917407991735685,0.553719008264463,0.6484749888813464,0.7179662562699498,SMALL DOLLY MIX DESIGN ORANGE BOWL,SMALL MARSHMALLOWS PINK BOWL,SMALL DOLLY MIX DESIGN ORANGE BOWL → SMALL MARSHMALLOWS PINK BOWL
frozenset({'WOODEN HEART CHRISTMAS SCANDINAVIAN'}),frozenset({'WOODEN STAR CHRISTMAS SCANDINAVIAN'}),0.02824482548138283,0.026580100993285612,0.020420620387325897,0.7229862475442044,27.200282185791455,1.0,0.019669870073493016,3.51397679854197,0.9912328750968282,0.5935483870967742,0.7154221392654263,0.7456267354631252,WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN → WOODEN STAR CHRISTMAS SCANDINAVIAN
frozenset({'WOODEN STAR CHRISTMAS SCANDINAVIAN'}),frozenset({'WOODEN HEART CHRISTMAS SCANDINAVIAN'}),0.026580100993285612,0.02824482548138283,0.020420620387325897,0.7682672233820459,27.20028218579145,1.0,0.019669870073493016,4.193429987337095,0.9895376871904945,0.5935483870967742,0.7615317286756423,0.7456267354631252,WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN → WOODEN HEART CHRISTMAS SCANDINAVIAN
frozenset({'TOILET METAL SIGN'}),frozenset({'BATHROOM METAL SIGN'}),0.021918872426613396,0.034237833638532826,0.015981355085733312,0.7291139240506329,21.295562439734933,1.0,0.015230900378046698,3.5651967823624253,0.9743996006530756,0.39779005524861877,0.7195105737368683,0.5979443202100814,TOILET METAL SIGN,BATHROOM METAL SIGN,TOILET METAL SIGN → BATHROOM METAL SIGN
frozenset({'BATHROOM METAL SIGN'}),frozenset({'TOILET METAL SIGN'}),0.034237833638532826,0.021918872426613396,0.015981355085733312,0.46677471636952994,21.295562439734933,1.0,0.015230900378046698,1.8342737255707584,0.9868287382849409,0.39779005524861877,0.45482509722542264,0.5979443202100814,BATHROOM METAL SIGN,TOILET METAL SIGN,BATHROOM METAL SIGN → TOILET METAL SIGN
"frozenset({'STRAWBERRY CHARLOTTE BAG', 'CHARLOTTE BAG SUKI DESIGN'})",frozenset({'WOODLAND CHARLOTTE BAG'}),0.02180789079407358,0.03778924587980689,0.015925864269463404,0.7302798982188295,19.32507202026656,1.0,0.015101760522126181,3.567441758200339,0.969394193115324,0.3646759847522237,0.71968708453296,0.5758594792122048,"CHARLOTTE BAG SUKI DESIGN, STRAWBERRY CHARLOTTE BAG",WOODLAND CHARLOTTE BAG,"CHARLOTTE BAG SUKI DESIGN, STRAWBERRY CHARLOTTE BAG → WOODLAND CHARLOTTE BAG"
frozenset({'WOODLAND CHARLOTTE BAG'}),"frozenset({'STRAWBERRY CHARLOTTE BAG', 'CHARLOTTE BAG SUKI DESIGN'})",0.03778924587980689,0.02180789079407358,0.015925864269463404,0.42143906020558003,19.32507202026656,1.0,0.015101760522126181,1.6907330618508525,0.9854948579144714,0.3646759847522237,0.40854057771526875,0.5758594792122048,WOODLAND CHARLOTTE BAG,"CHARLOTTE BAG SUKI DESIGN, STRAWBERRY CHARLOTTE BAG","WOODLAND CHARLOTTE BAG → CHARLOTTE BAG SUKI DESIGN, STRAWBERRY CHARLOTTE BAG"
"frozenset({'RED RETROSPOT CHARLOTTE BAG', 'WOODLAND CHARLOTTE BAG'})",frozenset({'STRAWBERRY CHARLOTTE BAG'}),0.023861050996060153,0.03734531934964763,0.016924698962321735,0.7093023255813953,18.993071633435846,1.0,0.01603360039285564,3.3115321014372117,0.9705065276487324,0.3822055137844611,0.6980249717144527,0.5812484881993157,"RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG",STRAWBERRY CHARLOTTE BAG,"RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG → STRAWBERRY CHARLOTTE BAG"
frozenset({'STRAWBERRY CHARLOTTE BAG'}),"frozenset({'RED RETROSPOT CHARLOTTE BAG', 'WOODLAND CHARLOTTE BAG'})",0.03734531934964763,0.023861050996060153,0.016924698962321735,0.45319465081723626,18.993071633435846,1.0,0.01603360039285564,1.7851671540207918,0.9841007797941463,0.3822055137844611,0.4398283669136157,0.5812484881993157,STRAWBERRY CHARLOTTE BAG,"RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG","STRAWBERRY CHARLOTTE BAG → RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG"
"frozenset({'CHARLOTTE BAG PINK POLKADOT', 'CHARLOTTE BAG SUKI DESIGN'})",frozenset({'WOODLAND CHARLOTTE BAG'}),0.021308473447644416,0.03778924587980689,0.015259974474224516,0.7161458333333334,18.95104854992658,1.0,0.014454743331788145,3.3898066934142586,0.9678560051956887,0.34810126582278483,0.7049979274798155,0.559981874082232,"CHARLOTTE BAG PINK POLKADOT, CHARLOTTE BAG SUKI DESIGN",WOODLAND CHARLOTTE BAG,"CHARLOTTE BAG PINK POLKADOT, CHARLOTTE BAG SUKI DESIGN → WOODLAND CHARLOTTE BAG"
frozenset({'WOODLAND CHARLOTTE BAG'}),"frozenset({'CHARLOTTE BAG PINK POLKADOT', 'CHARLOTTE BAG SUKI DESIGN'})",0.03778924587980689,0.021308473447644416,0.015259974474224516,0.40381791483113066,18.951048549926576,1.0,0.014454743331788145,1.6415983487245176,0.9844334696445423,0.34810126582278483,0.390837593874911,0.559981874082232,WOODLAND CHARLOTTE BAG,"CHARLOTTE BAG PINK POLKADOT, CHARLOTTE BAG SUKI DESIGN","WOODLAND CHARLOTTE BAG → CHARLOTTE BAG PINK POLKADOT, CHARLOTTE BAG SUKI DESIGN"
"frozenset({'RED RETROSPOT CHARLOTTE BAG', 'WOODLAND CHARLOTTE BAG'})",frozenset({'CHARLOTTE BAG PINK POLKADOT'}),0.023861050996060153,0.03734531934964763,0.0166472448809722,0.6976744186046512,18.681709803379523,1.0,0.015756146311506104,3.184165482151166,0.9696075644742576,0.37359900373599003,0.6859459705830308,0.5717198244583435,"RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG",CHARLOTTE BAG PINK POLKADOT,"RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG → CHARLOTTE BAG PINK POLKADOT"
frozenset({'CHARLOTTE BAG PINK POLKADOT'}),"frozenset({'RED RETROSPOT CHARLOTTE BAG', 'WOODLAND CHARLOTTE BAG'})",0.03734531934964763,0.023861050996060153,0.0166472448809722,0.4457652303120357,18.681709803379523,1.0,0.015756146311506104,1.7612372994092533,0.983189224502344,0.37359900373599003,0.43221733929015943,0.5717198244583435,CHARLOTTE BAG PINK POLKADOT,"RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG","CHARLOTTE BAG PINK POLKADOT → RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG"
"frozenset({'CHARLOTTE BAG SUKI DESIGN', 'WOODLAND CHARLOTTE BAG'})",frozenset({'STRAWBERRY CHARLOTTE BAG'}),0.022917707119471727,0.03734531934964763,0.015925864269463404,0.6949152542372882,18.607827335230567,1.0,0.01506999517832504,3.1553681199094887,0.9684539178422226,0.3591989987484355,0.6830797669247273,0.5606819956179012,"CHARLOTTE BAG SUKI DESIGN, WOODLAND CHARLOTTE BAG",STRAWBERRY CHARLOTTE BAG,"CHARLOTTE BAG SUKI DESIGN, WOODLAND CHARLOTTE BAG → STRAWBERRY CHARLOTTE BAG"
frozenset({'STRAWBERRY CHARLOTTE BAG'}),"frozenset({'CHARLOTTE BAG SUKI DESIGN', 'WOODLAND CHARLOTTE BAG'})",0.03734531934964763,0.022917707119471727,0.015925864269463404,0.42644873699851416,18.607827335230567,1.0,0.01506999517832504,1.7035657593486933,0.9829684450868027,0.3591989987484355,0.41299595010507856,0.5606819956179012,STRAWBERRY CHARLOTTE BAG,"CHARLOTTE BAG SUKI DESIGN, WOODLAND CHARLOTTE BAG","STRAWBERRY CHARLOTTE BAG → CHARLOTTE BAG SUKI DESIGN, WOODLAND CHARLOTTE BAG"
"frozenset({'RED RETROSPOT CHARLOTTE BAG', 'STRAWBERRY CHARLOTTE BAG'})",frozenset({'CHARLOTTE BAG PINK POLKADOT'}),0.025414793851617556,0.03734531934964763,0.017479607125020807,0.6877729257641921,18.41657636730536,1.0,0.016530483532426688,3.0831877184465832,0.9703626581494827,0.38602941176470584,0.6756603582658811,0.5779132087959148,"RED RETROSPOT CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG",CHARLOTTE BAG PINK POLKADOT,"RED RETROSPOT CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG → CHARLOTTE BAG PINK POLKADOT"
frozenset({'CHARLOTTE BAG PINK POLKADOT'}),"frozenset({'RED RETROSPOT CHARLOTTE BAG', 'STRAWBERRY CHARLOTTE BAG'})",0.03734531934964763,0.025414793851617556,0.017479607125020807,0.4680534918276374,18.416576367305357,1.0,0.016530483532426688,1.8321112953571543,0.9823887113834081,0.38602941176470584,0.45418163048601345,0.5779132087959148,CHARLOTTE BAG PINK POLKADOT,"RED RETROSPOT CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG","CHARLOTTE BAG PINK POLKADOT → RED RETROSPOT CHARLOTTE BAG, STRAWBERRY CHARLOTTE BAG"
frozenset({'JUMBO BAG VINTAGE CHRISTMAS '}),"frozenset({""JUMBO BAG 50'S CHRISTMAS ""})",0.02535930303534765,0.03728982853337773,0.017368625492480996,0.6849015317286652,18.366979915598623,1.0,0.016422981430566915,3.055267696946155,0.9701569722559139,0.38357843137254904,0.6726964380242247,0.5753376706262374,JUMBO BAG VINTAGE CHRISTMAS ,JUMBO BAG 50'S CHRISTMAS ,JUMBO BAG VINTAGE CHRISTMAS  → JUMBO BAG 50'S CHRISTMAS 
"frozenset({""JUMBO BAG 50'S CHRISTMAS ""})",frozenset({'JUMBO BAG VINTAGE CHRISTMAS '}),0.03728982853337773,0.02535930303534765,0.017368625492480996,0.46577380952380953,18.366979915598623,1.0,0.016422981430566915,1.8243970706413548,0.9821797833133249,0.38357843137254904,0.45187370880372185,0.5753376706262374,JUMBO BAG 50'S CHRISTMAS ,JUMBO BAG VINTAGE CHRISTMAS ,JUMBO BAG 50'S CHRISTMAS  → JUMBO BAG VINTAGE CHRISTMAS 
"frozenset({'RED RETROSPOT CHARLOTTE BAG', 'CHARLOTTE BAG SUKI DESIGN'})",frozenset({'STRAWBERRY CHARLOTTE BAG'}),0.026358137728205982,0.03734531934964763,0.01786804283891016,0.6778947368421053,18.152066942988977,1.0,0.016883689767988312,2.9886338124765848,0.9704901685224215,0.3898305084745763,0.6653989539215807,0.5781747086885118,"CHARLOTTE BAG SUKI DESIGN, RED RETROSPOT CHARLOTTE BAG",STRAWBERRY CHARLOTTE BAG,"CHARLOTTE BAG SUKI DESIGN, RED RETROSPOT CHARLOTTE BAG → STRAWBERRY CHARLOTTE BAG"
frozenset({'STRAWBERRY CHARLOTTE BAG'}),"frozenset({'RED RETROSPOT CHARLOTTE BAG', 'CHARLOTTE BAG SUKI DESIGN'})",0.03734531934964763,0.026358137728205982,0.01786804283891016,0.4784546805349183,18.152066942988974,1.0,0.016883689767988312,1.8668403797974857,0.9815667798532632,0.3898305084745763,0.46433556354267425,0.5781747086885118,STRAWBERRY CHARLOTTE BAG,"CHARLOTTE BAG SUKI DESIGN, RED RETROSPOT CHARLOTTE BAG","STRAWBERRY CHARLOTTE BAG → CHARLOTTE BAG SUKI DESIGN, RED RETROSPOT CHARLOTTE BAG"
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.038843571388935134,0.03895455302147494,0.027301481604794408,0.7028571428571428,18.043003663003663,1.0,0.02578834764358069,3.234287561946959,0.9827503904044295,0.5406593406593407,0.6908128974784093,0.7018559218559219,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ",PINK REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER  → PINK REGENCY TEACUP AND SAUCER"
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",0.03895455302147494,0.038843571388935134,0.027301481604794408,0.7008547008547009,18.043003663003663,1.0,0.02578834764358069,3.2130086327855603,0.9828638785261923,0.5406593406593407,0.6887652308817369,0.7018559218559219,PINK REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ","PINK REGENCY TEACUP AND SAUCER → GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER "
"frozenset({'CHARLOTTE BAG SUKI DESIGN', 'WOODLAND CHARLOTTE BAG'})",frozenset({'CHARLOTTE BAG PINK POLKADOT'}),0.022917707119471727,0.03734531934964763,0.015259974474224516,0.665859564164649,17.82979971145786,1.0,0.014404105383086152,2.8809882833956206,0.9660538598157862,0.3390875462392109,0.6528968875842253,0.5372388459753409,"CHARLOTTE BAG SUKI DESIGN, WOODLAND CHARLOTTE BAG",CHARLOTTE BAG PINK POLKADOT,"CHARLOTTE BAG SUKI DESIGN, WOODLAND CHARLOTTE BAG → CHARLOTTE BAG PINK POLKADOT"
frozenset({'CHARLOTTE BAG PINK POLKADOT'}),"frozenset({'CHARLOTTE BAG SUKI DESIGN', 'WOODLAND CHARLOTTE BAG'})",0.03734531934964763,0.022917707119471727,0.015259974474224516,0.40861812778603274,17.82979971145786,1.0,0.014404105383086152,1.6522019676095367,0.9805324166264908,0.3390875462392109,0.3947471195383971,0.5372388459753409,CHARLOTTE BAG PINK POLKADOT,"CHARLOTTE BAG SUKI DESIGN, WOODLAND CHARLOTTE BAG","CHARLOTTE BAG PINK POLKADOT → CHARLOTTE BAG SUKI DESIGN, WOODLAND CHARLOTTE BAG"
frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),frozenset({'HAND WARMER OWL DESIGN'}),0.02974307752067033,0.03490372343377171,0.018367460185339326,0.6175373134328358,17.69259129630069,1.0,0.017329316033488616,2.523373679217065,0.9724013764063629,0.39688249400479614,0.603705147503055,0.5718847139501222,HAND WARMER SCOTTY DOG DESIGN,HAND WARMER OWL DESIGN,HAND WARMER SCOTTY DOG DESIGN → HAND WARMER OWL DESIGN
